ym:s:bounce	ym:s:browser	ym:s:clientID	ym:s:date	ym:s:dateTime	ym:s:dateTimeUTC	ym:s:deviceCategory	ym:s:endURL	ym:s:from	ym:s:goalsDateTime	ym:s:goalsID	ym:s:goalsSerialNumber	ym:s:isNewUser	ym:s:lastAdvEngine	ym:s:lastReferalSource	ym:s:lastSearchEngine	ym:s:lastSearchEngineRoot	ym:s:lastSocialNetwork	ym:s:lastSocialNetworkProfile	ym:s:lastTrafficSource	ym:s:mobilePhone	ym:s:operatingSystem	ym:s:operatingSystemRoot	ym:s:pageViews	ym:s:referer	ym:s:regionCity	ym:s:regionCityID	ym:s:regionCountry	ym:s:regionCountryID	ym:s:startURL	ym:s:visitDuration	ym:s:visitID	ym:s:watchIDs
1	yandexsearch	1688188149430276254	2023-07-01	2023-07-01 08:09:09	2023-07-01 08:09:09	2	https://zeonpbx.ru/		[]	[]	[]	1	ya_direct	dzen.ru					ad	samsung	android_13	android	1	https://dzen.ru/	Efremov	10828	Russia	225	https://zeonpbx.ru/	0	3674039841227538552	[3674039841227538552]
0	chromemobile	1689836955966183921	2023-07-20	2023-07-20 10:09:15	2023-07-20 10:09:15	3	https://zeonpbx.ru/technical-support		[]	[]	[]	1	ya_undefined						direct	apple	ios16	ios_double	7		Yekaterinburg	54	Russia	225	https://zeonpbx.ru/	3226	4106264371604750411	[4106264371604750411,4106355148523831305,4106584430873935925,4106651397508301055,4107060894975393901,4107061474596225368,4107110024234926347,4106268391205765377,4106655391267422400,4107065403127890049]
0	chromemobile	1685749786232167173	2023-06-03	2023-06-03 02:49:55	2023-06-03 02:49:55	2	https://zeonpbx.ru/call-center		[]	[]	[]	1	ya_direct	gogov.ru					ad	samsung	android_11	android	1	https://gogov.ru/		0	Russia	225	https://zeonpbx.ru/call-center	15	3034839902424662238	[3034839902424662238,3034843807736135958]
0	chromemobile	1681536318428218387	2023-04-15	2023-04-15 08:25:19	2023-04-15 08:25:19	2	https://zeonpbx.ru/call-center		[]	[]	[]	1	ya_direct	lifehacker-ru.turbopages.org					ad	xiaomi	android_10	android	1	https://lifehacker-ru.turbopages.org/		0	Russia	225	https://zeonpbx.ru/call-center	19	1930302627024732331	[1930302627024732331,1930307392148340820]
1	chrome	1689853765917642978	2023-07-20	2023-07-20 14:49:24	2023-07-20 14:49:24	1	https://zeonpbx.ru/		[]	[]	[]	1	ya_undefined						direct		windows10	windows	1			0	Russia	225	https://zeonpbx.ru/	0	4110670851223584870	[4110670851223584870]
1	yandex_browser	1688047486770649687	2023-06-29	2023-06-29 17:04:45	2023-06-29 17:04:45	1	https://zeonpbx.ru/call-center		[]	[]	[]	1	ya_direct	yandex.ru	yandex_search	yandex			ad		windows10	windows	1	https://yandex.ru/	Saratov	194	Russia	225	https://zeonpbx.ru/call-center	0	3637165529542688912	[3637165529542688912]
1	yandexsearch	168235564764703803	2023-04-24	2023-04-24 20:03:53	2023-04-24 20:03:53	2	https://zeonpbx.ru/call-center		[]	[]	[]	1	ya_direct						ad	samsung	android_oreo	android	1		Khasavurt	11011	Russia	225	https://zeonpbx.ru/call-center	0	2145133311918866587	[2145133311918866587]
0	chrome	1686039222941234731	2023-06-07	2023-06-07 13:26:31	2023-06-07 13:26:31	1	https://zeonpbx.ru/call-center		[]	[]	[]	0	ya_undefined	google.com	google_search	google			organic		windows10	windows	2	https://google.com/	Kazan	43	Russia	225	https://zeonpbx.ru/	557	3135449830345933158	[3135449830345933158,3135595699516473702,3135453753324339558]
1	yandexsearch	1685861652463207739	2023-06-04	2023-06-04 09:54:11	2023-06-04 09:54:11	2	https://zeonpbx.ru/		[]	[]	[]	1	ya_direct	yandex.ru	yandex_search	yandex			ad	samsung	android_13	android	1	https://yandex.ru/		0	Russia	225	https://zeonpbx.ru/	0	3064162397264543766	[3064162397264543766]
0	chromemobile	1689851927724074635	2023-07-20	2023-07-20 14:18:48	2023-07-20 14:18:48	2	https://zeonpbx.ru/call-center		[]	[]	[]	1	ya_direct						ad	xiaomi	android_pie90	android	1		Yenakiieve	24874		0	https://zeonpbx.ru/call-center	15	4110189397405859962	[4110189397405859962,4110193263828009082]
0	chrome	1681753631981387689	2023-04-17	2023-04-17 20:47:11	2023-04-17 20:47:11	1	https://zeonpbx.ru/		[]	[]	[]	1	ya_undefined						direct		mac_os_catalina	macos	1		Moscow	213	Russia	225	https://zeonpbx.ru/	15	1987269368516182272	[1987269368516182272,1987273404814459136]
0	chromemobile	1680477535372172635	2023-04-03	2023-04-03 02:18:42	2023-04-03 02:18:42	2	https://zeonpbx.ru/		[]	[]	[]	1	ya_undefined						direct	samsung	android_12	android	1			0	Russia	225	https://zeonpbx.ru/	16	1652745224034451791	[1652745224034451791,1652749265412030806]
1	chromemobile	1682334707276017688	2023-04-24	2023-04-24 14:11:47	2023-04-24 14:11:47	2	https://zeonpbx.ru/stomatolog		[]	[]	[]	1	ya_direct	androeed.ru					ad	xiaomi	android_11	android	1	https://androeed.ru/	Makhachkala	28	Russia	225	https://zeonpbx.ru/stomatolog	0	2139595097625854150	[2139595097625854150]
1	yandexsearch	168740335466602461	2023-06-22	2023-06-22 06:09:13	2023-06-22 06:09:13	2	https://zeonpbx.ru/medcentre		[]	[]	[]	1	ya_direct	trashbox.ru					ad	tecno	android_11	android	1	https://trashbox.ru/		0	Russia	225	https://zeonpbx.ru/medcentre	0	3468310573226655994	[3468310573226655994]
0	chrome	1683015641772666036	2023-05-17	2023-05-17 11:19:13	2023-05-17 11:19:13	1	https://zeonpbx.ru/		[]	[]	[]	0	ya_undefined	google.com	google_search	google			organic		windows10	windows	1	https://google.com/	Moscow	213	Russia	225	https://zeonpbx.ru/	15	2657813323012636855	[2657813323012636855,2657817230104592567]
1	chromemobile	1688144826139922715	2023-06-30	2023-06-30 20:07:06	2023-06-30 20:07:06	2	https://zeonpbx.ru/call-center		[]	[]	[]	1	ya_direct	androides.ru					ad	samsung	android_13	android	1	https://androides.ru/	Samara	51	Russia	225	https://zeonpbx.ru/call-center	0	3662682862236991843	[3662682862236991843]
0	chromemobile	1683026631379202886	2023-05-02	2023-05-02 14:23:44	2023-05-02 14:23:44	2	https://zeonpbx.ru/		[]	[]	[]	1	ya_undefined						direct	samsung	android_10	android	1		Moscow	213	Russia	225	https://zeonpbx.ru/	15	2320977032556839244	[2320977032556839244,2320980974835597618]
0	chromemobile	1681804769914061690	2023-04-18	2023-04-18 10:59:37	2023-04-18 10:59:37	2	https://zeonpbx.ru/		[]	[]	[]	1	ya_undefined						direct	oneplus	android_13	android	1		Moscow	213	Russia	225	https://zeonpbx.ru/	15	2000677159175717180	[2000677159175717180,2000681044698988741]
0	chromemobile	1682557290286698415	2023-04-27	2023-04-27 04:01:30	2023-04-27 04:01:30	2	https://zeonpbx.ru/stomatolog		[]	[]	[]	1	ya_direct	mcpehub.org					ad	tecno	android_12	android	2	https://mcpehub.org/	Yakutsk	74	Russia	225	https://zeonpbx.ru/stomatolog	959	2197943882111516735	[2197943882111516735,2198195163553333580]
0	chromemobile	1683467800660923787	2023-05-07	2023-05-07 20:08:26	2023-05-07 20:08:26	2	https://zeonpbx.ru/call-center		[]	[]	[]	0	ya_undefined						ad	huawei	android_11	android	1			0	Russia	225	https://zeonpbx.ru/call-center	15	2439644906163273988	[2439644906163273988,2439648873214115928]
1	yandexsearch	168725498480724224	2023-06-20	2023-06-20 12:56:25	2023-06-20 12:56:25	2	https://zeonpbx.ru/call-center		[]	[]	[]	1	ya_direct	m.cyber.sports.ru					ad	xiaomi	android_11	android	1	https://m.cyber.sports.ru/		0	Russia	225	https://zeonpbx.ru/call-center	0	3429416344342233256	[3429416344342233256]
0	opera_mobile	1687994832418444372	2023-06-29	2023-06-29 02:27:11	2023-06-29 02:27:11	2	https://zeonpbx.ru/call-center		[]	[]	[]	1	ya_direct	dardar.ru					ad	xiaomi	android_12	android	1	https://dardar.ru/chto-podarit-babushke/	Moscow	213	Russia	225	https://zeonpbx.ru/call-center	15	3623362731350425859	[3623362731350425859,3623366600394014785]
0	yandex_browser	1688477669620508671	2023-07-04	2023-07-04 16:34:20	2023-07-04 16:34:20	2	https://zeonpbx.ru/		[]	[]	[]	1	ya_direct	yandex.ru	yandex_search	yandex			ad	huawei	android_10	android	1	https://yandex.ru/	Novoulyanovsk	20070	Russia	225	https://zeonpbx.ru/	15	3749933387382784196	[3749933387382784196,3749937196508643380]
0	yasearchapp	1688117061116846109	2023-06-30	2023-06-30 12:24:20	2023-06-30 12:24:20	2	https://zeonpbx.ru/?etext=2202.6vMMjvSb1uffkmyj4SOJ4NI3sjC7JoyG9Vr1iYcTusiN2i2KuW982fXtcoX7YsIajcb7ThjhYJ_0EeCp-fKLIZyMmfqwgXiR2V4ZYNXzl7NydWV2ZGFjY2lreGF3ZXZ1.5454fc39ca54a02afb01eed2cab0368ed4277b63		[]	[]	[]	1	ya_direct	yandex.ru	yandex_search	yandex			ad	huawei	android_marshmallow	android	1	https://yandex.ru/		0	Russia	225	https://zeonpbx.ru/?etext=2202.6vMMjvSb1uffkmyj4SOJ4NI3sjC7JoyG9Vr1iYcTusiN2i2KuW982fXtcoX7YsIajcb7ThjhYJ_0EeCp-fKLIZyMmfqwgXiR2V4ZYNXzl7NydWV2ZGFjY2lreGF3ZXZ1.5454fc39ca54a02afb01eed2cab0368ed4277b63	15	3655404146384699589	[3655404146384699589,3655408107778474181]
0	android_browser	1685051374719910464	2023-05-26	2023-05-26 00:49:37	2023-05-26 00:49:37	3	https://zeonpbx.ru/call-center		[]	[]	[]	1	ya_direct						ad	lenovo	android_10	android	1		Korolev	20728	Russia	225	https://zeonpbx.ru/call-center	15	2851753816485266022	[2851753816485266022,2851757712573989168]
1	chromemobile	1688188421972673288	2023-07-01	2023-07-01 08:13:42	2023-07-01 08:13:42	2	https://zeonpbx.ru/call-center		[]	[]	[]	1	ya_direct	cheat-for-games.ru					ad	tecno	android_11	android	1	https://cheat-for-games.ru/	Stavropol	36	Russia	225	https://zeonpbx.ru/call-center	0	3674111374055178292	[3674111374055178292]
0	chrome	1686948960769126799	2023-06-16	2023-06-16 23:55:58	2023-06-16 23:55:58	1	https://zeonpbx.ru/		[]	[]	[]	1	ya_direct	yandex.ru	yandex_search	yandex			ad		windows10	windows	1	https://yandex.ru/	Tula	15	Russia	225	https://zeonpbx.ru/	15	3349193354672603507	[3349193354672603507,3349197273880068474]
0	chromemobile	168177068314703997	2023-04-18	2023-04-18 01:32:09	2023-04-18 01:32:09	2	https://zeonpbx.ru/		[]	[]	[]	1	ya_undefined						direct	xiaomi	android_10	android	1		Moscow	213	Russia	225	https://zeonpbx.ru/	16	1991751746140766243	[1991751746140766243,1991755776418644003]
1	yandex_browser	1682587499964849396	2023-04-27	2023-04-27 12:25:50	2023-04-27 12:25:50	1	https://zeonpbx.ru/?etext=2202.7pAtfwjgGIGCUQSBnXzn1mhpcGFkaG1uYmZnc3dqbGY.651b4f7074e6b31527222451a335186462ba8aef		[]	[]	[]	0	ya_direct	yandex.ru	yandex_search	yandex			ad		windows10	windows	1	https://yandex.ru/	Moscow	213	Russia	225	https://zeonpbx.ru/?etext=2202.7pAtfwjgGIGCUQSBnXzn1mhpcGFkaG1uYmZnc3dqbGY.651b4f7074e6b31527222451a335186462ba8aef	0	2205876380185919782	[2205876380185919782]
0	android_browser	1683228980765187988	2023-05-04	2023-05-04 22:36:22	2023-05-04 22:36:22	2	https://zeonpbx.ru/call-center		[]	[]	[]	1	ya_direct						ad	xiaomi	android_10	android	1			0	Russia	225	https://zeonpbx.ru/call-center	15	2374023786201874550	[2374023786201874550,2374027827718652042]
0	edge	1682071195216071206	2023-05-11	2023-05-11 14:07:01	2023-05-11 14:07:01	1	https://zeonpbx.ru/call-center#umnoyemenu		[]	[]	[]	0	ya_undefined						direct		windows10	windows	1		Moscow	213	Russia	225	https://zeonpbx.ru/call-center#umnoyemenu	15	2524557131805360384	[2524557131805360384,2524561186244002048]
1	chromemobile	1688181298772060196	2023-07-01	2023-07-01 06:14:59	2023-07-01 06:14:59	2	https://zeonpbx.ru/call-center		[]	[]	[]	1	ya_direct						ad	xiaomi	android_10	android	1		Bishkek	10309	Kyrgyzstan	207	https://zeonpbx.ru/call-center	0	3672243964499198010	[3672243964499198010]
1	chromemobile	1688198101941829838	2023-07-01	2023-07-01 10:55:01	2023-07-01 10:55:01	2	https://zeonpbx.ru/call-center		[]	[]	[]	1	ya_direct	kakoperator.ru					ad	samsung	android_oreo81	android	1	https://kakoperator.ru/	Irkutsk	63	Russia	225	https://zeonpbx.ru/call-center	0	3676648902007455884	[3676648902007455884]
0	yandex_browser	1689160039454413315	2023-07-12	2023-07-12 14:07:19	2023-07-12 14:07:19	1	https://zeonpbx.ru/call-center		[]	[]	[]	1	ya_undefined						direct		windows10	windows	2		Moscow	213	Russia	225	https://zeonpbx.ru/	51	3928814833827840033	[3928814833827840033,3928828280809455979,3928818694776422433]
0	chromemobile	1682438312843585022	2023-05-25	2023-05-25 15:31:12	2023-05-25 15:31:12	2	https://zeonpbx.ru/call-center		[]	[]	[]	0	ya_direct						ad	huawei	android_11	android	1		Budennovsk	11055	Russia	225	https://zeonpbx.ru/call-center	97	2842970793536127245	[2842970793536127245,2842996124521595149]
0	chromemobile	1684084254370173778	2023-05-14	2023-05-14 20:10:57	2023-05-14 20:10:57	2	https://zeonpbx.ru/		[]	[]	[]	1	unknown	yandex.ru	yandex_search	yandex			ad	realme	android_12	android	1	https://yandex.ru/		0	Russia	225	https://zeonpbx.ru/	15	2598229189016158528	[2598229189016158528,2598233019701526864]
1	chromemobile	1687255020283189267	2023-06-20	2023-06-20 12:57:01	2023-06-20 12:57:01	2	https://zeonpbx.ru/call-center		[]	[]	[]	1	ya_direct	mcpehub.org					ad	realme	android_11	android	1	https://mcpehub.org/		0	Russia	225	https://zeonpbx.ru/call-center	0	3429426081436008609	[3429426081436008609]
1	yandexsearch	1688240013190442850	2023-07-01	2023-07-01 22:32:36	2023-07-01 22:32:36	2	https://zeonpbx.ru/		[]	[]	[]	1	ya_direct	kniga-online.org					ad	samsung	android_12	android	1	https://kniga-online.org/		0	Italy	205	https://zeonpbx.ru/	0	3687620555354406960	[3687620555354406960]
0	yandexsearch	1682377499871095758	2023-04-25	2023-04-25 02:05:51	2023-04-25 02:05:51	2	https://zeonpbx.ru/call-center		[]	[]	[]	1	ya_direct						ad	samsung	android_10	android	1		Vyazma	10782	Russia	225	https://zeonpbx.ru/call-center	19	2150826944781877520	[2150826944781877520,2150831380782383145]
0	chromemobile	1682904070586426408	2023-05-01	2023-05-01 04:21:10	2023-05-01 04:21:10	2	https://zeonpbx.ru/call-center		[]	[]	[]	1	ya_direct	e1.ru					ad	huawei	android_10	android	1	https://e1.ru/text/entertainment/2021/07/31/70053374/	Nizhny Novgorod	47	Russia	225	https://zeonpbx.ru/call-center	15	2288850119626588330	[2288850119626588330,2288854075374043424]
1	yandexsearch	1688867947366700549	2023-07-09	2023-07-09 04:59:07	2023-07-09 04:59:07	2	https://zeonpbx.ru/call-center		[]	[]	[]	1	ya_direct	yandex.ru					ad	xiaomi	android_11	android	1	https://yandex.ru/games/app/200573?ypr=https:%2F%2Fyandex.ru%2F		0	Russia	225	https://zeonpbx.ru/call-center	0	3852244812020318340	[3852244812020318340]
1	safari_mobile	1684144608573402123	2023-05-15	2023-05-15 13:30:37	2023-05-15 13:30:37	2	https://zeonpbx.ru/		[]	[]	[]	0	ya_undefined	amo.si					referral	apple	ios16	ios_double	1	https://amo.si/	Nizhny Novgorod	47	Russia	225	https://zeonpbx.ru/	0	2614581551770632264	[2614581551770632264]
0	samsung_internet	1682336637592863760	2023-04-24	2023-04-24 14:44:02	2023-04-24 14:44:02	2	https://zeonpbx.ru/call-center		[]	[]	[]	1	ya_direct						ad	samsung	android_13	android	1		Syktyvkar	19	Russia	225	https://zeonpbx.ru/call-center	14	2140102731201249294	[2140102731201249294,2140105996535071010]
0	chromemobile	1681446478521181316	2023-04-14	2023-04-14 07:27:58	2023-04-14 07:27:58	2	https://zeonpbx.ru/call-center		[]	[]	[]	1	ya_direct						ad	huawei	android_10	android	2		Kyzyl	11333	Russia	225	https://zeonpbx.ru/call-center	1	1906751156373160013	[1906751156373160013,1906751523093479647]
0	chrome	1674895145729906333	2023-04-10	2023-04-10 14:57:31	2023-04-10 14:57:31	1	https://zeonpbx.ru/company		[]	[]	[]	0	ya_undefined						direct		windows10	windows	14		Busan	10634	South Korea	135	https://zeonpbx.ru/	668	1823224915496009842	[1823224915496009842,1823227217778835773,1823227700500496590,1823274200061444413,1823275079898497084,1823372297528934514,1823373539378987325,1823379783427293244,1823382568304640060,1823385593378504818,1823388341937373298,1823392522580525262,1823395486150426684,1823397919869370428,1823400117227487292,1823379258583286077]
0	yandex_browser	1683707354898993815	2023-05-10	2023-05-10 11:29:14	2023-05-10 11:29:14	1	https://zeonpbx.ru/call-center		[]	[]	[]	1	ya_undefined	direct.yandex.ru					referral		windows10	windows	1	https://direct.yandex.ru/	Moscow	213	Russia	225	https://zeonpbx.ru/call-center	15	2499426247290650642	[2499426247290650642,2499430264823087131]
1	chromemobile	1688215244797235515	2023-07-01	2023-07-01 15:40:44	2023-07-01 15:40:44	2	https://zeonpbx.ru/		[]	[]	[]	1	ya_direct	starhit.ru					ad	huawei	android_pie90	android	1	https://starhit.ru/story/jenschina-kotoraya-igraet-kak-alla-pugacheva-popala-v-kino-po-blatu-ili-iz-za-talanta-282366-826143/	Korolev	20728	Russia	225	https://zeonpbx.ru/	0	3681142665653256563	[3681142665653256563]
0	chromemobile	1682256985263873445	2023-04-23	2023-04-23 16:36:41	2023-04-23 16:36:41	2	https://zeonpbx.ru/		[]	[]	[]	1	ya_undefined						direct	xiaomi	android_10	android	1		Moscow	213	Russia	225	https://zeonpbx.ru/	17	2119225035041538215	[2119225035041538215,2119229360628302123]
0	chromemobile	1682305515752168308	2023-04-24	2023-04-24 06:04:58	2023-04-24 06:04:58	2	https://zeonpbx.ru/		[]	[]	[]	1	ya_undefined						direct		android_11	android	1		Moscow	213	Russia	225	https://zeonpbx.ru/	17	2131938009857392743	[2131938009857392743,2131942480430760050]
1	chromemobile	168802080526576602	2023-06-29	2023-06-29 09:40:05	2023-06-29 09:40:05	2	https://zeonpbx.ru/integration		[]	[]	[]	1	ya_direct	alpha-ag.ru					ad	huawei	android_oreo	android	1	https://alpha-ag.ru/		0	Russia	225	https://zeonpbx.ru/integration	0	3630171755310743705	[3630171755310743705]
1	chromemobile	1682544447219642473	2023-04-27	2023-04-27 00:27:26	2023-04-27 00:27:26	2	https://zeonpbx.ru/call-center		[]	[]	[]	1	ya_direct	yandex.ru	yandex_search	yandex			ad	xiaomi	android_12	android	1	https://yandex.ru/	Moscow	213	Russia	225	https://zeonpbx.ru/call-center	0	2194576988350709888	[2194576988350709888]
0	chromemobile	1684275077181457825	2023-05-17	2023-05-17 01:11:18	2023-05-17 01:11:18	2	https://zeonpbx.ru/		[]	[]	[]	1	ya_undefined	yandex.ru	yandex_search	yandex			organic	xiaomi	android_10	android	1	https://yandex.ru/		0	Russia	225	https://zeonpbx.ru/	15	2648251863112351976	[2648251863112351976,2648255530016702696]
0	opera_mobile	1681885245629753351	2023-04-19	2023-04-19 09:20:43	2023-04-19 09:20:43	2	https://zeonpbx.ru/		[]	[]	[]	1	ya_undefined	yandex.ru	yandex_search	yandex			organic	xiaomi	android_12	android	1	https://yandex.ru/	Moscow	213	Russia	225	https://zeonpbx.ru/	15	2021771007019450594	[2021771007019450594,2021774706611060962]
0	chromemobile	1681625632493233578	2023-04-16	2023-04-16 09:13:54	2023-04-16 09:13:54	2	https://zeonpbx.ru/		[]	[]	[]	1	ya_undefined	yandex.ru	yandex_search	yandex			organic	xiaomi	android_11	android	1	https://yandex.ru/	Moscow	213	Russia	225	https://zeonpbx.ru/	17	1953716068568268823	[1953716068568268823,1953720262256492567]
1	yandexsearch	1686825028671600567	2023-06-15	2023-06-15 13:30:29	2023-06-15 13:30:29	2	https://zeonpbx.ru/call-center		[]	[]	[]	1	ya_direct	ng-android.ru					ad	xiaomi	android_11	android	1	https://ng-android.ru/mody/374-geometry-dash-2-0-vzlom-vse-razblokirovano.html		0	Russia	225	https://zeonpbx.ru/call-center	0	3316706227611762845	[3316706227611762845]
1	chromemobile	168725931247187709	2023-06-20	2023-06-20 14:08:31	2023-06-20 14:08:31	2	https://zeonpbx.ru/medcentre		[]	[]	[]	1	ya_direct	androeed.ru					ad	huawei	android_10	android	1	https://androeed.ru/	Rybinsk	10839	Russia	225	https://zeonpbx.ru/medcentre	0	3430550761163718856	[3430550761163718856]
0	chromemobile	1689570122664899469	2023-07-17	2023-07-17 08:02:01	2023-07-17 08:02:01	2	https://zeonpbx.ru/robotmasha		[]	[]	[]	1	ya_direct	yandex.ru	yandex_search	yandex			ad	xiaomi	android_11	android	1	https://yandex.ru/	Vladivostok	75	Russia	225	https://zeonpbx.ru/robotmasha	16	4036315823013888106	[4036315823013888106,4036319618220949610]
0	chrome	16455327551065685094	2023-04-02	2023-04-02 16:14:25	2023-04-02 16:14:25	1	https://zeonpbx.ru/		[]	[]	[]	1	ya_undefined	zeonpbx.ru					internal		windows10	windows	1	https://zeonpbx.ru/techchar	Moscow	213	Russia	225	https://zeonpbx.ru/	18	1643240650852008022	[1643240650852008022,1643245343401312433]
0	chrome	1684372383238524542	2023-05-18	2023-05-18 04:13:02	2023-05-18 04:13:02	1	https://zeonpbx.ru/		[]	[]	[]	1	ya_direct	mail.yandex.ru					ad		windows10	windows	1	https://mail.yandex.ru/	Irkutsk	63	Russia	225	https://zeonpbx.ru/	15	2673759439043952813	[2673759439043952813,2673763332113301539]
0	yandex_browser	1684387229814256912	2023-05-18	2023-05-18 08:20:28	2023-05-18 08:20:28	1	https://zeonpbx.ru/		[]	[]	[]	1	ya_direct	mail.yandex.ru					ad		windows10	windows	1	https://mail.yandex.ru/	Batumi	10278	Georgia	169	https://zeonpbx.ru/	22	2677651250042372306	[2677651250042372306,2677656914202460468]
1	yandex_browser	1681375434852283476	2023-04-13	2023-04-13 11:43:55	2023-04-13 11:43:55	2	https://zeonpbx.ru/call-center		[]	[]	[]	1	ya_direct	mail.yandex.ru					ad	huawei	android_pie90	android	1	https://mail.yandex.ru/	Moscow	213	Russia	225	https://zeonpbx.ru/call-center	0	1888127630123467055	[1888127630123467055]
0	yandex_browser	1684760202462872217	2023-05-22	2023-05-22 15:56:41	2023-05-22 15:56:41	1	https://zeonpbx.ru/call-center		[]	[]	[]	1	ya_direct	wiki.pro-voip.ru					ad		windows10	windows	1	http://wiki.pro-voip.ru/	Moscow	213	Russia	225	https://zeonpbx.ru/call-center	15	2775423879682457666	[2775423879682457666,2775427793918099522]
0	yandex_browser	1685060911527845825	2023-05-26	2023-05-26 03:28:31	2023-05-26 03:28:31	2	https://zeonpbx.ru/call-center		[]	[]	[]	1	ya_direct	yandex.ru	yandex_search	yandex			ad	xiaomi	android_10	android	1	https://yandex.ru/	Helsinki	10493	Finland	123	https://zeonpbx.ru/call-center	22	2854253058067529969	[2854253058067529969,2854258757432508483]
